station_id,latitude (degrees north),longitude (degrees east),date_time,air_temperature (C°),sea_level_pressure (hPa),wind_speed (m/s),gust_speed (m/s),significant_wave_height (m),dominant_wave_period (s),sea_surface_temperature (C°),wind_speed_cwind (m/s)
2868187,47.34899902,-124.7080002,2013-04-20 19:50:00+00:00,8.699999809,1027.0,2.0,3.0,1.600000024,8.0,9.399999619,4.800000191
2868187,47.34899902,-124.7080002,2013-04-20 20:50:00+00:00,8.399999619,1026.900024,4.0,5.0,1.600000024,8.0,9.600000381,4.800000191
2868187,47.34899902,-124.7080002,2013-04-20 21:50:00+00:00,8.699999809,1026.900024,4.0,5.0,1.600000024,8.0,9.600000381,4.800000191
2868187,47.34899902,-124.7080002,2013-04-20 22:50:00+00:00,8.699999809,1026.900024,7.0,8.0,1.600000024,8.0,9.600000381,4.800000191
2868187,47.34899902,-124.7080002,2013-04-20 23:50:00+00:00,8.600000381,1026.699951,6.0,8.0,1.399999976,8.0,9.5,4.800000191
2868187,47.34899902,-124.7080002,2013-04-21 00:50:00+00:00,8.399999619,1026.300049,6.0,7.0,1.399999976,8.0,9.5,4.800000191
2868187,47.34899902,-124.7080002,2013-04-21 01:50:00+00:00,8.100000381,1026.099976,6.0,8.0,1.399999976,8.0,9.5,4.800000191
2868187,47.34899902,-124.7080002,2013-04-21 02:50:00+00:00,8.0,1026.0,4.0,6.0,1.299999952,8.0,9.600000381,4.800000191
2868187,47.34899902,-124.7080002,2013-04-21 03:50:00+00:00,7.599999905,1025.900024,6.0,7.0,1.200000048,7.0,9.5,4.800000191
2868187,47.34899902,-124.7080002,2013-04-21 04:50:00+00:00,7.699999809,1026.300049,6.0,7.0,1.200000048,7.0,9.600000381,4.800000191
2868187,47.34899902,-124.7080002,2013-04-21 05:50:00+00:00,7.699999809,1026.400024,3.0,4.0,1.200000048,11.0,9.699999809,4.800000191
2868187,47.34899902,-124.7080002,2013-04-21 06:50:00+00:00,8.100000381,1026.099976,3.0,4.0,1.200000048,8.0,9.800000191,4.800000191
2868187,47.34899902,-124.7080002,2013-04-21 07:50:00+00:00,8.100000381,1025.800049,3.0,4.0,1.200000048,7.0,9.699999809,4.800000191
2868187,47.34899902,-124.7080002,2013-04-21 08:50:00+00:00,8.199999809,1025.599976,4.0,5.0,1.200000048,7.0,9.699999809,4.800000191
